inn,name,revenue,site,source,cat_evidence,cat_product,employees,okved_main,cat_evidence_original,cat_product_original,website_analysis_date,cat_confidence,website_accessible,analysis_duration
4574170000,Компания_4574170000,150000000,www.company4574170000.ru,superjob.ru,Вакансия: Crowdin,Trados/Smartcat,50,62.01,Вакансия: Crowdin,Trados/Smartcat,2025-12-16,0,True,0.14
8512528270,Компания_8512528270,150000000,www.company8512528270.ru,superjob.ru,Вакансия: Crowdin,Trados/Smartcat,50,62.01,Вакансия: Crowdin,Trados/Smartcat,2025-12-16,0,True,0.31
8825976805,Компания_8825976805,150000000,www.company8825976805.ru,superjob.ru,Вакансия: Phrase,Trados/Smartcat,50,62.01,Вакансия: Phrase,Trados/Smartcat,2025-12-16,0,True,0.12
387000000,Компания_0387000000,150000000,www.company0387000000.ru,superjob.ru,Вакансия: Phrase,Trados/Smartcat,50,62.01,Вакансия: Phrase,Trados/Smartcat,2025-12-16,0,True,0.1
2762043876,Компания_2762043876,150000000,www.company2762043876.ru,superjob.ru,"Вакансия: Phrase, технический писатель",Trados/Smartcat,50,62.01,"Вакансия: Phrase, технический писатель",Trados/Smartcat,2025-12-16,0,True,0.09
8718503100,Компания_8718503100,150000000,www.company8718503100.ru,superjob.ru,Вакансия: translation memory,Trados/Smartcat,50,62.01,Вакансия: translation memory,Trados/Smartcat,2025-12-16,0,True,0.89
8442165645,Компания_8442165645,150000000,www.company8442165645.ru,superjob.ru,"Вакансия: локализация, переводчик",Trados/Smartcat,50,62.01,"Вакансия: локализация, переводчик",Trados/Smartcat,2025-12-16,0,True,0.85
3817722064,Компания_3817722064,150000000,www.company3817722064.ru,superjob.ru,"Вакансия: локализация, переводчик",Trados/Smartcat,50,62.01,"Вакансия: локализация, переводчик",Trados/Smartcat,2025-12-16,0,True,0.05
5668182246,Компания_5668182246,150000000,www.company5668182246.ru,superjob.ru,"Вакансия: локализация, переводчик",Trados/Smartcat,50,62.01,"Вакансия: локализация, переводчик",Trados/Smartcat,2025-12-16,0,True,0.24
2996020000,Компания_2996020000,150000000,www.company2996020000.ru,superjob.ru,Вакансия: локализация,Trados/Smartcat,50,62.01,Вакансия: локализация,Trados/Smartcat,2025-12-16,0,True,0.16
2760405920,Компания_2760405920,150000000,www.company2760405920.ru,superjob.ru,Вакансия: локализация,Trados/Smartcat,50,62.01,Вакансия: локализация,Trados/Smartcat,2025-12-16,0,True,0.17
6699019223,Компания_6699019223,150000000,www.company6699019223.ru,superjob.ru,Вакансия: локализация,Trados/Smartcat,50,62.01,Вакансия: локализация,Trados/Smartcat,2025-12-16,0,True,0.13
2237926577,Компания_2237926577,150000000,www.company2237926577.ru,superjob.ru,Вакансия: локализация,Trados/Smartcat,50,62.01,Вакансия: локализация,Trados/Smartcat,2025-12-16,0,True,0.38
7636067233,Компания_7636067233,150000000,www.company7636067233.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01,Вакансия: переводчик,Trados/Smartcat,2025-12-16,0,True,0.43
8082702802,Компания_8082702802,150000000,www.company8082702802.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01,Вакансия: переводчик,Trados/Smartcat,2025-12-16,0,True,0.18
472904200,Компания_0472904200,150000000,www.company0472904200.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01,Вакансия: переводчик,Trados/Smartcat,2025-12-16,0,True,0.08
2760405920,Компания_2760405920,150000000,www.company2760405920.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01,Вакансия: переводчик,Trados/Smartcat,2025-12-16,0,True,0.02
240303561,Компания_0240303561,150000000,www.company0240303561.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01,Вакансия: переводчик,Trados/Smartcat,2025-12-16,0,True,0.15
342068768,Компания_0342068768,150000000,www.company0342068768.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01,Вакансия: переводчик,Trados/Smartcat,2025-12-16,0,True,0.19
7538326780,Компания_7538326780,150000000,www.company7538326780.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01,Вакансия: переводчик,Trados/Smartcat,2025-12-16,0,True,0.38
9275523922,Компания_9275523922,150000000,www.company9275523922.ru,superjob.ru,Вакансия: переводчик,Trados/Smartcat,50,62.01,Вакансия: переводчик,Trados/Smartcat,2025-12-16,0,True,0.28
2750823649,Компания_2750823649,150000000,www.company2750823649.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01,Вакансия: технический писатель,Trados/Smartcat,2025-12-16,0,True,0.09
8471309562,Компания_8471309562,150000000,www.company8471309562.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01,Вакансия: технический писатель,Trados/Smartcat,2025-12-16,0,True,0.13
5858580508,Компания_5858580508,150000000,www.company5858580508.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01,Вакансия: технический писатель,Trados/Smartcat,2025-12-16,0,True,0.24
226740321,Компания_0226740321,150000000,www.company0226740321.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01,Вакансия: технический писатель,Trados/Smartcat,2025-12-16,0,True,0.18
8702873695,Компания_8702873695,150000000,www.company8702873695.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01,Вакансия: технический писатель,Trados/Smartcat,2025-12-16,0,True,0.06
7748188241,Компания_7748188241,150000000,www.company7748188241.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01,Вакансия: технический писатель,Trados/Smartcat,2025-12-16,0,True,0.19
7012242600,Компания_7012242600,150000000,www.company7012242600.ru,superjob.ru,Вакансия: технический писатель,Trados/Smartcat,50,62.01,Вакансия: технический писатель,Trados/Smartcat,2025-12-16,0,True,0.08
